Provider Name,AHFoZ Number,Registration Number,Provider Type,Speciality,Medical Aid Accepted,Organisation,Address,City,Province,Phone,Mobile,Email,Website,Contact Person,Latitude,Longitude,Source URL,Source Title,Last Verified,Notes
Selbourne Clinic (Nyanga Pine),,,Clinic,,,,The Wattle Company Juliasdale Estates Juliasdale,Nyanga,Manicaland,,,,,Talent Maphosa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Selbourne Private-Waltle Company,,,Private-Waltle Company,,,Other,"Mutasa, Manicaland",Mutasa,Manicaland,,,,,,-18.53556,32.6576385498,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Private-Waltle Company; Ownership code/source: Other; Source updated field: 1998
Sellberg Ann Elinar,,M 800813,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MD (Lundi -SWEDEN) 2010
Selous Avenue Clinic,,,Clinic,,,,19 Selous Avenue,Harare,Harare,,,,,Godfrey Mutetse,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Selous Council Clinic,,,Clinic,,,Local Authority / Rural,"Chegutu, Mashonaland West",Chegutu,Mashonaland West,,,,,,-18.06861,30.4486103058,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Council Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Selous Metallurgical Complex Clinic,,,Clinic,,,,"Zimplats Mine, Makwiro RoadP.O BOX 61, Selous",Ngezi,,,,,,Edmond Berejena,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Semek Med PVT LTD,,,Healthcare Facility,,,,104th Street,Marondera,Mashonaland East,,,,,Matifadza Musarurwa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Semwayo Michelle,,Int 804155,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2024
Senderayi Alva Mandizvidza,,M 066604,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: General Medicine (Craiova-ROMANIA) 1982
Senga Poly Clinic,,,Clinic,,,Local Authority / Rural,"Gweru, Midlands",Gweru,Midlands,,,,,,-19.49622,29.83814,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 2007
Sengezi Clinic,,,Clinic,,,Local Authority / Rural,"Hwedza, Mashonaland East",Hwedza,Mashonaland East,,,,,,-18.74408,31.4871101379,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Sengurayi Elton,,OBG 500785,Doctor,Specialist Obstetrician and Gynaecologist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2006
Sengwe Kudzai Simbarashe,,OBG 701369,Doctor,Specialist Obstetrician and Gynaecologist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MD (LATIN AMERICAN -CUBA) 2010
Sengwezani Rural Health Centre,,,Clinic,,,NGO,"Gwanda, Matabeleland South",Gwanda,Matabeleland South,,,,,,-21.37139,28.9745006561,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Rural Health Centre; Ownership code/source: NGO; Source updated field: 1998
Senkwasi Clinic,,,Clinic,,,Local Authority / Rural,"Kwekwe, Midlands",Kwekwe,Midlands,,,,,,-18.58403,29.4357204437,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Sentimental Pharmacy-Bulawayo,,,Pharmacy,,,,Shop 7Entumbane Shoppoing CentreEntumbane,Bulawayo,Bulawayo,,,,,Elizabeth Siziba,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Seremani Takunda Huram,,M 800474,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2021
Serene Pharmacies,,,Pharmacy,,,,212 Hauna Growth Point,Honde Valley,,,,,,Tungamirai Mazanhi,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
SERENE PHARMACIES,,,Pharmacy,,PSMAS,,,,,,,,https://psmas.co.zw/directory/serene-pharmacies/,,,,https://psmas.co.zw/directory/serene-pharmacies/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Serene Potential Occupational Therapy Consultancy,,,Rehabilitation Centre,Occupational Therapy,,,40 Tongogara Avenue,Harare,Harare,,,,,Tariro Saimano,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Serenity Family Therapy Centre,,,Healthcare Facility,,,,"Stand Number 1350 BT, 30 14th Avenue",Bulawayo,Bulawayo,,,,,Thabani Chinembiri,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Serenity Mind Center,,,Healthcare Facility,,,,19 Dvine RoadMilton Park,Harare,Harare,,,,,Anesu Chinoperekwei,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Serenity Pharmacy,,,Pharmacy,,,,8 Jason Moyo Avenue,Harare,Harare,,,,,david gweshelo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Serima Mission Hospital,,,Mission Hospital,,,,Serima Mission HospitalGutu District,Masvingo,Masvingo,,,,,Annah Maviko,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Serima Mission Hospital,,,Mission Hospital,,,Mission,"Gutu, Masvingo",Gutu,Masvingo,,,,,,-19.51861,30.8836898804,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Mission Hospital; Ownership code/source: Mission; Source updated field: 1998
Servant Pharmacy,,,Pharmacy,,,,Stand 432 Zouma ComplexMupandawana,Gutu,Masvingo,,,,,Zivanai Sibhenge,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Servant Pharmacy,,,Pharmacy,,,,Stand 3537,Nyika,,,,,,Obson Wisani,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Sesame Clinic,,,Clinic,,,Local Authority / Rural,"Gokwe, Midlands",Gokwe,Midlands,,,,,,-17.95472,28.7350006104,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Sesame Clinic,,,Clinic,,,Local Authority / Rural,"Nkayi, Matabeleland North",Nkayi,Matabeleland North,,,,,,-18.955,28.7124996185,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Sesedza Lindsay,,Int 803958,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2025
Sesedza Trinity,,M 805327,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2020
Seva Tapiwanashe Samuel,,M 803492,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2024
Seveni Medical Clinic,,,Clinic,,,,8170Kuwadzana 4 Shops,Harare,Harare,,,,,Robson Mahachi,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Seveni Tinashe,,PRDp 802657,Dentist,Dental Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: DMD (Algiers -ALGERIA) 2015
Seventh Avenue Medical Centre,,,Clinic,,,,124 Herbert Chitepo Street,Mutare,Manicaland,,,,,Ngoni Tsorai,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
SEVENTH AVENUE MEDICAL CENTRE,,,Clinic,,PSMAS,,,,,,,,https://psmas.co.zw/directory/seventh-avenue-medical-centre/,,,,https://psmas.co.zw/directory/seventh-avenue-medical-centre/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Seventh Avenue Medical Centre,,,Clinic,,CellMed,,124 Herbert Chitepo,Mutare,Manicaland,,0776214560,,,,,,https://zimmedicover.com/wp-content/uploads/2024/12/CellMed-Service-Provider-Directory.pdf,CellMed Service Provider Directory,2026-07-27,Section: CLINIC
Severa Munyaradzi Moffart,,M 701558,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2011
Seyani M.B.R Dental Practice,,,Dentist,Dentistry,,,17 Sixth Street,Gweru,Midlands,,,,,Makaluwa Seyani,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Seyani Makaluwa Brown Redson,,Dp 163600,Dentist,Dental Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: BDS (Liverpool-UK) 1972
SEYANI. M B,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/seyani-m-b/,,,,https://psmas.co.zw/directory/seyani-m-b/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
SH Oncology Milton Park Centre,,,Doctor,Oncologist,,,25 Lezard Avenue Milton Park,Harare,Harare,,,,,Webster Kadzatsa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shaba council clinic,,,Clinic,,,0,"Tsholotsho, Matabeleland North",Tsholotsho,Matabeleland North,,,,,,-20.043,27.7239,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: council clinic; Ownership code/source: 0; Source updated field: 2013
Shabanie Mine Hospital,,,Hospital,,,Other,"Zvishavane, Midlands",Zvishavane,Midlands,,,,,,-20.32071,30.06206,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Hospital; Ownership code/source: Other; Source updated field: 2007
Shabanie Mine-Gaths Mine Hospital,,,Hospital,,,,Gaths Mine TownshipBag 402Mashava,Zvishavane,Midlands,,,,,Conford Gweme,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shabwe Rural Health Centre,,,Clinic,,,NGO,"Beitbridge, Matabeleland South",Beitbridge,Matabeleland South,,,,,,-22.10489,30.2227802277,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Rural Health Centre; Ownership code/source: NGO; Source updated field: 1998
Shackleton Clinic,,,Clinic,,,,Shackleton Shopping CentreP O Box 93,Chinhoyi,Mashonaland West,,,,,Godfrey Zhuwao,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shale Rural Health Centre,,,Healthcare Facility,,,,Ward 8Umzingwane District Matebeleland South,Esigodini,Matabeleland South,,,,,Herbert Marira,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shallom Rose Surgery,,,Doctor,Surgeon,,,395York Street,Chivhu,Mashonaland East,,,,,Ruth Chokumanyara,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shalom Dental Clinic,,,Dentist,Dentistry,,,Stand No. 8461/11Mbizo,Kwekwe,Midlands,,,,,Talent Tsokodayi,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shalom Medical Clinic,,,Clinic,,,,8461/11 Mbizo,Kwekwe,Midlands,,,,,Kudakwashe Maronda,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shalom Pharmacy,,,Pharmacy,,,,8384 Warren Park Industrial Area,Harare,Harare,,,,,Adelaide Samuriwo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shalom Pharmacy-Bindura,,,Pharmacy,,,,Shop 1Stand No. 1908 NSSA Area,Bindura,Mashonaland Central,,,,,Tapiwanashe Madzokere,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shalom Pharmacy-Mufakose-Harare,,,Pharmacy,,,,9657Mufakose Extension,Harare,Harare,,,,,Tinashe Chikaka,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shalom Private Hospital,,,Private Hospital,,,,7 Campion Street,Kadoma,Mashonaland West,,,,,George Mhinga,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
SHALOM PRIVATE HOSPITAL,,,Private Hospital,,PSMAS,,,,,,,,https://psmas.co.zw/directory/shalom-private-hospital/,,,,https://psmas.co.zw/directory/shalom-private-hospital/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Shalom Womens Health Centre,,,Healthcare Facility,,,,26 Baines Avenue,Harare,Harare,,,,,Memory Ndagurwa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shambamuto Clinic,,,Clinic,,,Local Authority / Rural,"Murehwa, Mashonaland East",Murewa,Mashonaland East,,,,,,-17.87231,31.6393108368,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
SHAMBARE,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/shambare/,,,,https://psmas.co.zw/directory/shambare/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Shambare Conrad,,Sur 343437,Doctor,Specialist Surgeon,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 1997
Shambira Gerald,,M 275598,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 1991
Shambira Karen Tanaka Vimbikai,,M 801896,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (University of Malawi-MALAWI) 2014
SHAMBIRA P.,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/shambira-p/,,,,https://psmas.co.zw/directory/shambira-p/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Shambira Pascal Shingirayi,,M 500768,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2006
Shamrock Pharmacy,,,Pharmacy,,,,Shop 2-4 Shamrock HouseKing George Rd,Harare,Harare,,,,,Ronald Pachawo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shamrock Under Construction,,,Under Construction,,,8,"Chegutu, Mashonaland West",Chegutu,Mashonaland West,,,,,,-17.90262,29.97025,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Under Construction; Ownership code/source: 8; Source updated field: 2007
Shamu Sharai,,Oph 286958,Doctor,Specialist Ophthalmologist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 1991
Shamu Tinashe Yolanda Jane,,Anae 800189,Doctor,Specialist Anaesthetist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2013
Shamva Clinic,,,Clinic,,,Local Authority / Rural,"Shamva, Mashonaland Central",Shamva,Mashonaland Central,,,,,,-17.29208,31.5715293884,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
Shamva District Hospital,,,Hospital,,,,Shamva Tipperary Road,Shamva,Mashonaland Central,,,,,Tendayi Kamuriwo,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shamva District Hospital,,,Private Hospital,,,Private,"Shamva, Mashonaland Central",Shamva,Mashonaland Central,,,,,,-17.32711,31.5701694489,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: District Hospital; Ownership code/source: Private; Source updated field: 1998
Shamva Farm Health Clinic,,,Clinic,,,Other,"Shamva, Mashonaland Central",Shamva,Mashonaland Central,,,,,,-17.25022,31.6576900482,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Farm Health Clinic; Ownership code/source: Other; Source updated field: 1998
Shamva Gold Mine Ambulance Services,,,Ambulance Service,,,,2 Richards RoadShamva Gold Mine,Shamva,Mashonaland Central,,,,,Francis Masekesa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shamva Gold Mine Clinic,,,Clinic,,,Local Authority / Rural,"Shamva, Mashonaland Central",Shamva,Mashonaland Central,,,,,,-17.31627,31.568769455,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
SHAMVA HOSPITAL,,,Hospital,,PSMAS,,,,,,,,https://psmas.co.zw/directory/shamva-hospital/,,,,https://psmas.co.zw/directory/shamva-hospital/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Shamva RDC-Chishapa Rural Health Centre,,,Healthcare Facility,,,,P.Bag 2099P.O.Box 49,Shamva,Mashonaland Central,,,,,,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shamva RDC-Mupfurudzi Rural Health Centre,,,Healthcare Facility,,,,Mupfurudzi Resettlement VillageP.O.Box 49,Shamva,Mashonaland Central,,,,,,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shana Emmanuel,,M 306113,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MD (Odessa - Russia-RUSSIA) 1992
Shandare Raymond Tawanda,,M 801718,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2018
Shangani Mine Clinic,,,Clinic,,,,Shangani MineBox 3,Gweru,Midlands,,,,,Eric Nyadzika,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shangani Mine Clinic,,,Clinic,,,Other,"Insiza, Matabeleland South",Insiza,Matabeleland South,,,,,,-19.68997,29.2248897552,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Mine Clinic; Ownership code/source: Other; Source updated field: 1998
Shangani Rural Hospital,,,Private Hospital,,,Private,"Insiza, Matabeleland South",Insiza,Matabeleland South,,,,,,-19.78414,29.3737506866,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Rural Hospital; Ownership code/source: Private; Source updated field: 1998
Shangwa Tarisai,,Int 804394,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2024
Sharara Kudzai John,,Int 804986,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2025
Sharief Asif,,M 500039,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2005
Sharief Waseema,,M 087281,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (Punjab-PAKISTAN) 1971
Sharif Jana Hesham,,Int 806912,Doctor,Intern,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBBS (International Medical University -MALAYSIA) 2024
Shasha Pharmacy,,,Pharmacy,,,,7869 Aerodrome Shops,Bindura,Mashonaland Central,,,,,Munyaradzi Chadzingwa,,,https://hpa.co.zw/registered-facilities/,HPA Registered Facilities,2026-07-27,HPA registered facility; AHFoZ number not published on this page
Shashe Clinic,,,Clinic,,,Local Authority / Rural,"Beitbridge, Matabeleland South",Beitbridge,Matabeleland South,,,,,,-22.10292,29.3224391937,https://data.humdata.org/dataset/1f291458-c999-434a-8160-e13fceaac957/resource/c60fac4d-b3fb-48a7-9652-7d7e44b34a89/download/health-facility-list-with-geo-codes.xlsx,HDX MoH Health Facility List,2026-07-27,Facility type: Clinic; Ownership code/source: Local Authority / Rural; Source updated field: 1998
SHASHI HOSPITAL OPTOMETRY,,,Optical Centre,Optometry,PSMAS,,SHASHI HOSPITAL 169 CHURCH ROAD,,,08677008235,788784806,,,,,,https://psmas.co.zw/view-download-provider-list/,PSMAS Provider Network List (Excel),2026-07-27,Imported from repository PSMAS Excel
Shava Anesu Blessing,,M 803531,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2023
Shava Charles,,M 805295,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MD (Novi Sad-SERBIA) 2017
Shava Cynthia Vimbai,,Pae 701189,Doctor,Specialist Paediatrician,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2010
Shava Garai Garry,,M 801105,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 2018
Shava Joseph,,OBG 800617,Doctor,Specialist Obstetrician and Gynaecologist,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Male; Qualification: MBChB (ZIMB) 1990
SHAVA MINE CLINIC,,,Clinic,,PSMAS,,,,,,,,https://psmas.co.zw/directory/shava-mine-clinic/,,,,https://psmas.co.zw/directory/shava-mine-clinic/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
Shava Nozizwe,,M 600023,Doctor,Medical Practitioner,,,,,,,,,,,,,https://www.mdpcz.co.zw/public_register,MDPCZ Public Register,2026-07-27,Gender: Female; Qualification: MBChB (ZIMB) 2005
SHAVA P.S.,,,Healthcare Provider,,PSMAS,,,,,,,,https://psmas.co.zw/directory/shava-p-s/,,,,https://psmas.co.zw/directory/shava-p-s/,PSMAS All Listings,2026-07-27,From PSMAS website listings API/HTML JSON
